question,ground_truth,expected_behavior
"What is the role of the AMF in 5G architecture?","The AMF handles registration, connection management, and mobility management for 5G access." ,"ANSWER"
"What is the function of the SMF in 5G session management?","The SMF establishes, modifies, and releases PDU sessions and manages session-level policy and mobility context." ,"ANSWER"
"What is the purpose of the UPF in the 5G data path?","The UPF forwards user data, supports routing and packet inspection, and anchors the user plane within the 5G core." ,"ANSWER"
"What is a PDU session in 5G?","A PDU session is a user plane connection between a UE and a data network for carrying application data and associated session handling." ,"ANSWER"
"What is the purpose of the PCF in 5G?","The PCF provides policy decisions for access, QoS, charging, and service control in the 5G core." ,"ANSWER"
"What is the role of the NG-RAN in 5G?","The NG-RAN provides radio access for the UE and connects to the 5G core through the NG interface." ,"ANSWER"
"What does the UE represent in 5G?","The UE is the user equipment, such as a mobile handset or terminal, that accesses the network." ,"ANSWER"
"What is the purpose of a QoS flow in 5G?","A QoS flow carries traffic with specific policy and service requirements within a PDU session." ,"ANSWER"
"How does the 5G core support mobility management?","The 5G core uses AMF and related functions to handle access registration, tracking, and mobility procedures for the UE." ,"ANSWER"
"What is the purpose of session management in 5G?","Session management coordinates the establishment, modification, and release of sessions between the UE and the network for data services." ,"ANSWER"
"What is the capital of France?","NOT_IN_CORPUS","ABSTAIN"
"Who is the CEO of Apple?","NOT_IN_CORPUS","ABSTAIN"
"What is the weather in Berlin today?","NOT_IN_CORPUS","ABSTAIN"
